YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,BBOX
"2018",CA,CDF,BEU,IDRIA,"00003382",2018/07/12,2018/07/15,"9",,116.00000000000,110.16600000000,"1","1",,3645.06353443000,445824.04986000003,"Polygon ((-120.84124566 36.55291023, -120.8327848 36.55291023, -120.8327848 36.56172648, -120.84124566 36.56172648, -120.84124566 36.55291023))"
"2018",CA,CDF,BEU,SAN ARDO,"00003069",2018/06/25,2018/06/26,"9",,287.00000000000,287.01200000000,"1","1",,5164.39291241000,1161495.94990999997,"Polygon ((-120.84493726 35.98470881, -120.83086354 35.98470881, -120.83086354 35.99868199, -120.84493726 35.99868199, -120.84493726 35.98470881))"
"2018",CA,CCO,VNC,VISTA,"00096450",2018/11/16,2018/11/16,"2",Equipment 18-0096450,1.00000000000,1.40142000000,"6","1",,286.80966781000,5671.34918851000,"Polygon ((-119.31463577 34.36252877, -119.31395449 34.36252877, -119.31395449 34.36349412, -119.31463577 34.36349412, -119.31463577 34.36252877))"
"2018",CA,CCO,VNC,VICTORIA,"00051090",2018/07/02,2018/07/02,"14",18-0051090,0.00000000000,0.66365400000,"6","1",,1100.53265629000,2685.71263092000,"Polygon ((-119.22684105 34.26925385, -119.19487851 34.26925385, -119.19487851 34.27389835, -119.22684105 34.27389835, -119.22684105 34.26925385))"
"2018",CA,CCO,VNC,ROLLING,"00057534",2018/07/23,2018/07/23,"14",VCFD Cause undetermin post investig.  18-0057534,0.00000000000,0.00714462000,"6","1",,20.61779535810,28.91324296390,"Polygon ((-118.86848128 34.17435043, -118.86839545 34.17435043, -118.86839545 34.17439481, -118.86848128 34.17439481, -118.86848128 34.17435043))"
"2018",CA,CCO,VNC,GRIMES,"00088823",2018/10/31,2018/11/01,"2",Equipment 18-0088823,0.23000000000,0.20207000000,"1","1",,107.73025620900,817.74952448300,"Polygon ((-118.90474461 34.34333741, -118.90438854 34.34333741, -118.90438854 34.34366795, -118.90474461 34.34366795, -118.90474461 34.34333741))"
"2018",CA,CCO,VNC,ERBES,"00009049",2018/01/31,2018/01/31,"14",18-0009049,0.00000000000,0.02883830000,"6","1",,40.01258176020,116.70430597500,"Polygon ((-118.84648176 34.23539919, -118.84632619 34.23539919, -118.84632619 34.23550119, -118.84648176 34.23550119, -118.84648176 34.23539919))"
"2018",CA,CCO,VNC,HARBOR,"00029131",2018/04/14,2018/04/14,"14",VCFD Cause undetermin post investig.  18-0029131,0.00000000000,0.39263300000,"6","1",,147.47545944500,1588.92952496000,"Polygon ((-119.24820464 34.21410938, -119.24776207 34.21410938, -119.24776207 34.21457073, -119.24820464 34.21457073, -119.24820464 34.21410938))"
"2018",CA,CCO,VNC,ROCKY,"00061236",2018/08/04,2018/08/04,"9",Unintentional 18-0061236,0.00000000000,0.05268870000,"1","1",,89.97167218210,213.22375441100,"Polygon ((-118.64651109 34.26883096, -118.6461738 34.26883096, -118.6461738 34.26908531, -118.64651109 34.26908531, -118.64651109 34.26883096))"
"2018",CA,CCO,VNC,PEKING,"00096415",2018/11/16,2018/11/16,"9",Unintentional 18-0096415,0.00000000000,0.03789300000,"6","1",,45.71031327090,153.34765197400,"Polygon ((-119.31296985 34.27977922, -119.3128116 34.27977922, -119.3128116 34.2799122, -119.31296985 34.2799122, -119.31296985 34.27977922))"
